Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°];Nome;|V| [kV];|V| [kV];|V| [kV];|V| [pu];|V| [pu];|V| [pu];arg(V) [°];arg(V) [°];arg(V) [°]
Barra 44;14,149602;14,177584;14,204248;1,025333;1,027361;1,029293;-0,151368;-120,22791;119,88031;Barra 44;14,194671;14,22261;14,250525;1,028599;1,030624;1,032647;-0,429156;-120,510484;119,598347
Barra 52;14,149596;14,177578;14,204242;1,025333;1,027361;1,029293;-0,151371;-120,227913;119,880307;Barra 52;14,194666;14,222604;14,25052;1,028599;1,030623;1,032646;-0,429159;-120,510486;119,598344
Barra 49;14,149568;14,177549;14,204213;1,025331;1,027359;1,029291;-0,151395;-120,227935;119,880282;Barra 49;14,194637;14,222574;14,250489;1,028597;1,030621;1,032644;-0,429183;-120,510509;119,598319
Barra 47;14,149498;14,17748;14,204144;1,025326;1,027354;1,029286;-0,151448;-120,22799;119,88023;Barra 47;14,194568;14,222506;14,250422;1,028592;1,030616;1,032639;-0,429236;-120,510563;119,598267
Barra 54;14,149498;14,17748;14,204144;1,025326;1,027354;1,029286;-0,151448;-120,22799;119,88023;Barra 54;14,194568;14,222506;14,250422;1,028592;1,030616;1,032639;-0,429236;-120,510563;119,598267
Barra 48;14,149176;14,177153;14,203816;1,025303;1,02733;1,029262;-0,152416;-120,228951;119,879253;Barra 48;14,194244;14,222177;14,250091;1,028568;1,030593;1,032615;-0,430205;-120,511525;119,597289
Barra 56;14,148989;14,176967;14,203629;1,025289;1,027316;1,029248;-0,151846;-120,228378;119,879828;Barra 56;14,194057;14,221991;14,249904;1,028555;1,030579;1,032602;-0,429634;-120,510951;119,597865
Barra 64;14,148989;14,176967;14,203629;1,025289;1,027316;1,029248;-0,151846;-120,228378;119,879828;Barra 64;14,194057;14,221991;14,249904;1,028555;1,030579;1,032602;-0,429634;-120,510951;119,597865
Barra 65;14,1489;14,176878;14,20354;1,025283;1,02731;1,029242;-0,151915;-120,228446;119,879759;Barra 65;14,193967;14,221901;14,249815;1,028548;1,030573;1,032595;-0,429703;-120,511019;119,597796
Barra 72;14,1489;14,176878;14,20354;1,025283;1,02731;1,029242;-0,151915;-120,228446;119,879759;Barra 72;14,193967;14,221901;14,249815;1,028548;1,030573;1,032595;-0,429703;-120,511019;119,597796
Barra 79;14,1489;14,176878;14,20354;1,025283;1,02731;1,029242;-0,151915;-120,228446;119,879759;Barra 79;14,193967;14,221901;14,249815;1,028548;1,030573;1,032595;-0,429703;-120,511019;119,597796
Barra 75;14,148879;14,176857;14,203519;1,025281;1,027308;1,02924;-0,151897;-120,228429;119,879776;Barra 75;14,193947;14,221881;14,249794;1,028547;1,030571;1,032594;-0,429685;-120,511002;119,597814
Barra 62;14,148648;14,176623;14,203285;1,025264;1,027292;1,029224;-0,152495;-120,229023;119,879174;Barra 62;14,193715;14,221646;14,249559;1,02853;1,030554;1,032577;-0,430284;-120,511596;119,597211
